Year,Rank,Title,Author,Cover,Rating,Reviews,Price,Genre,Sub-Genres
2000,12,"Tuesdays with Morrie: An Old Man, A Young Man and Life's Greatest Lesson",Mitch Albom,Hardcover,4.8 out of 5 stars,"38,975",$11.79,Nonfiction,"Memoir, Biography, Philosophy, Self Help"
2000,13,"Eating Well for Optimum Health: The Essential Guide to Food, Diet, and Nutrition",Andrew Weil M.D.,Hardcover,4.4 out of 5 stars,276,$12.33,Nonfiction,"Nutrition, Self Help, Cookbooks"
2000,14,The Bear and the Dragon,Tom Clancy,Hardcover,4.5 out of 5 stars,"7,651",$20.00,Fiction,"Thriller, Adventure"
2000,15,The Seat of the Soul,Gary Zukav,Paperback,4.6 out of 5 stars,"6,236",$7.78,Nonfiction,"Spirituality, Self Help, Philosophy, Psychology, Personal Development"
2000,16,"The O'Reilly Factor: The Good, the Bad, and the Completely Ridiculous in American Life",Bill O'Reilly,Hardcover,4.4 out of 5 stars,387,$8.68,Nonfiction,"Politics, History, Biography"
2000,17,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Paperback,4.7 out of 5 stars,"116,235",$7.05,Nonfiction,"Self Help, Spirituality, Philosophy, Personal Development, Psychology"
2000,18,"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,Hardcover,4.6 out of 5 stars,"2,623",$17.22,Nonfiction,"Business, Leadership, Management, Self Help, Personal Development"
2000,19,Talking Dirty With The Queen Of Clean,Linda Cobb,Paperback,4.5 out of 5 stars,149,$11.91,Nonfiction,Reference
2000,20,The Worst-Case Scenario Survival Handbook (Worst Case Scenario (WORS)),Joshua Piven,Paperback,4.4 out of 5 stars,510,$1.04,Nonfiction,"Reference, Self Help, Science"
2000,21,Flags of Our Fathers,James Bradley,Hardcover,4.7 out of 5 stars,"2,047",$14.87,Nonfiction,"History, Biography"
2000,22,The Indwelling: The Beast Takes Possession (Left Behind #7),Jerry B. Jenkins,Hardcover,4.8 out of 5 stars,"1,641",$8.84,Fiction,"Religion, Fantasy, Thriller"
2000,23,The 7 Habits of Highly Effective People,Stephen R. Covey,Paperback,4.6 out of 5 stars,"19,621",$9.26,Nonfiction,"Self Help, Business, Personal Development, Psychology, Leadership"
2000,24,It's Not about the Bike: My Journey Back to Life,Lance Armstrong,Hardcover,4.4 out of 5 stars,"1,580",$18.78,Nonfiction,"Memoir, Autobiography, Biography"
2000,25,From Dawn to Decadence: 1500 to the Present: 500 Years of Western Cultural Life,Jacques Barzun,Hardcover,4.4 out of 5 stars,102,$26.29,Nonfiction,"History, Philosophy, Art"
2000,26,Relationship Rescue: A Seven-Step Strategy for Reconnecting with You Partner,Phillip C. McGraw,Hardcover,4.4 out of 5 stars,954,$18.00,Nonfiction,"Self Help, Psychology, Reference, Personal Development"
2000,27,Gap Creek : The Story of a Marriage,Robert Morgan,Hardcover,4.2 out of 5 stars,"1,187",$13.05,Fiction,"Historical Fiction, Romance, Drama"
2000,28,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Hardcover,4.4 out of 5 stars,"9,119",$16.69,Nonfiction,"Business, Psychology, Self Help, Sociology, Science"
2000,29,Drowning Ruth: A Novel (Oprah's Book Club),Christina Schwarz,Hardcover,4.0 out of 5 stars,"2,267",$18.95,Fiction,"Historical Fiction, Mystery, Adult"
2000,30,While I Was Gone (Oprah's Book Club),Sue Miller,Paperback,4.0 out of 5 stars,567,$14.39,Fiction,"Chick Lit, Mystery"
2000,31,"The Pilates Body: The Ultimate At-Home Guide to Strengthening, Lengthening and Toning Your Body- Without Machines",Brooke Siler,Paperback,4.7 out of 5 stars,897,$16.15,Nonfiction,"Reference, Self Help"
2000,32,It's Your Money: The E*TRADE Step-by-Step Guide to Online Investing,Christos M Cotsakos,Paperback,4.3 out of 5 stars,56,$11.99,Nonfiction,"Spirituality, Self Help, Finance, Business, Personal Development"
2000,33,Daughter of Fortune: A Novel,Isabel Allende,Hardcover,4.3 out of 5 stars,"2,232",$15.14,Fiction,"Historical Fiction, Romance"
2000,34,Beowulf: A New Verse Translation,Seamus Heaney,Hardcover,4.6 out of 5 stars,"3,769",$14.89,Fiction,"Fantasy, Mythology"
2000,35,The Last Precinct (A Scarpetta Novel),Patricia Cornwell,Hardcover,4.5 out of 5 stars,"5,640",$13.62,Fiction,"Mystery, Crime, Thriller"
2000,36,A Heartbreaking Work Of Staggering Genius : A Memoir Based on a True Story,Dave Eggers,Hardcover,3.6 out of 5 stars,"2,789",$24.99,Fiction,N/A
2000,37,The Greatest Generation,Tom Brokaw,Hardcover,4.6 out of 5 stars,"3,199",$11.24,Nonfiction,"History, Biography"
2000,38,Back Roads (Oprah's Book Club),Tawni O'Dell,Hardcover,4.2 out of 5 stars,"1,085",$9.78,Nonfiction,"Self Help, Psychology, Personal Development, Spirituality"
2000,39,Take Time for Your Life: A Personal Coach's 7-Step Program for Creating the Life You Want,Cheryl Richardson,Paperback,4.4 out of 5 stars,161,$11.76,Nonfiction,"Self Help, Personal Development, Psychology, Spirituality, Philosophy, Reference"
2000,40,The Mark: The Beast Rules the World (Left Behind #8),Tim LaHaye,Hardcover,4.7 out of 5 stars,"1,532",$8.78,Fiction,"Historical Fiction, Young Adult"
2000,41,"Nothing Like It in the World: The Men Who Built the Transcontinental Railroad, 1863-1869",Stephen E. Ambrose,Hardcover,4.5 out of 5 stars,"2,191",$24.32,Nonfiction,History
2000,42,The Red Tent,Anita Diamant,Paperback,4.5 out of 5 stars,"13,097",$12.17,Fiction,"Historical Fiction, Religion, Adult"
2000,43,Prodigal Summer,Barbara Kingsolver,Hardcover,4.4 out of 5 stars,"6,511",$21.08,Fiction,"Literary Fiction, Adult"
2000,44,"The Elements of Style, Fourth Edition",William Strunk Jr.,Paperback,4.7 out of 5 stars,"8,491",$7.99,Nonfiction,"Reference, Education, Self Help"
2000,45,The New New Thing : A Silicon Valley Story,Michael Lewis,Hardcover,4.3 out of 5 stars,"2,214",$15.35,Nonfiction,"Self Help, Philosophy, Personal Development, Psychology"
2000,46,"Harry Potter and the Chamber of Secrets (Harry Potter, Book 2) (2)",J. K. Rowling,Paperback,4.8 out of 5 stars,"102,934",$0.59,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2000,47,The Cider House Rules,John Irving,Mass Market Paperback,4.5 out of 5 stars,"3,629",$1.21,Fiction,"Historical Fiction, Literary Fiction"
2000,48,"HTML 4 for the World Wide Web, Fourth Edition",Elizabeth Castro,Paperback,4.0 out of 5 stars,248,$1.74,Nonfiction,"Reference, Science"
2000,49,Organizing From the Inside Out,Julie Morgenstern,Paperback,4.4 out of 5 stars,688,$9.62,Nonfiction,"Self Help, Personal Development, Business, Reference"
2000,50,Home Comforts: The Art and Science of Keeping House,Cheryl Mendelson,Hardcover,4.6 out of 5 stars,"1,384",$26.59,Nonfiction,"Reference, Self Help"
2001,1,Who Moved My Cheese,Spencer Johnson,Hardcover,4.6 out of 5 stars,"27,763",$12.99,Nonfiction,"Self Help, Business, Psychology, Leadership, Personal Development, Management"
2001,2,The Prayer of Jabez: Breaking Through to the Blessed Life,Bruce H. Wilkinson,Hardcover,4.8 out of 5 stars,"2,930",$11.96,Nonfiction,"Religion, Spirituality"
2001,3,John Adams,David McCullough,Hardcover,4.7 out of 5 stars,"5,399",$20.34,Nonfiction,"History, Biography, Politics"
2001,4,Harry Potter Schoolbooks: Quidditch Through the Ages and Fantastic Beasts and Where to Find Them,J. K. Rowling,Paperback,4.7 out of 5 stars,847,$4.99,Fiction,"Fantasy, Young Adult, Childrens, Magic"
2001,5,Jack: Straight from the Gut,Jack Welch,Hardcover,4.4 out of 5 stars,"1,034",$12.72,Fiction,"Fantasy, Young Adult, Mythology, Adventure"
2001,6,Fish: A Proven Way to Boost Morale and Improve Results,Stephen C. Lundin,Hardcover,4.6 out of 5 stars,"3,655",$9.24,Fiction,"Childrens, Fantasy"
2001,7,Skipping Christmas: A Novel,John Grisham,Hardcover,4.2 out of 5 stars,"8,244",$9.96,Fiction,Adult
2001,8,"Harry Potter and the Goblet of Fire (Harry Potter, Book 4) (4)",J.K. Rowling,Hardcover,4.8 out of 5 stars,"90,350",$17.76,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2001,9,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,Hardcover,4.4 out of 5 stars,"1,268",$22.49,Nonfiction,"Self Help, Reference"
2001,10,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and the Middle Class Do Not!,Robert T. Kiyosaki,Paperback,4.6 out of 5 stars,"23,816",$16.43,Nonfiction,"Finance, Business, Self Help, Personal Finance, Personal Development"
2001,11,The Red Tent,Anita Diamant,Paperback,4.5 out of 5 stars,"13,097",$12.17,Fiction,"Historical Fiction, Religion, Adult"
2001,12,A Painted House: A Novel,John Grisham,Hardcover,4.4 out of 5 stars,"11,671",$19.19,Fiction,"Historical Fiction, Mystery, Thriller"
2001,13,The Corrections,Jonathan Franzen,Hardcover,4.2 out of 5 stars,"6,554",$14.99,Fiction,Literary Fiction
2001,14,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Paperback,4.7 out of 5 stars,"116,235",$7.05,Nonfiction,"Self Help, Spirituality, Philosophy, Personal Development, Psychology"
2001,15,"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (3)",J.K. Rowling,Hardcover,4.8 out of 5 stars,"98,906",$16.49,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2001,16,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Paperback,4.8 out of 5 stars,"135,640",$0.59,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2001,17,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,Hardcover,3.6 out of 5 stars,813,$20.76,Nonfiction,"Business, Self Help, Leadership, Personal Development, Psychology, Reference"
2001,18,We Were the Mulvaneys (Oprah's Book Club),Joyce Carol Oates,Paperback,4.1 out of 5 stars,"1,943",$12.35,Fiction,Literary Fiction
2001,19,"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,Hardcover,4.6 out of 5 stars,"2,623",$17.22,Nonfiction,"Business, Leadership, Management, Self Help, Personal Development"
2001,20,Harry Potter (4 Volumes set),J. K. Rowling,Hardcover,4.6 out of 5 stars,828,$84.54,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2001,21,"The Final Days: The Last, Desperate Abuses of Power by the Clinton White House",Barbara Olson,Hardcover,4.6 out of 5 stars,186,$11.33,Nonfiction,"Biography, Journalism, Politics, Memoir, History"
2001,22,"Life Strategies: Doing What Works, Doing What Matters","Phillip C. Mcgraw, ph.d.",Paperback,4.5 out of 5 stars,592,$13.77,Nonfiction,"Self Help, Psychology, Personal Development"
2001,23,Ghost Soldiers: The Forgotten Epic Story of World War II's Most Dramatic Mission,Hampton Sides,Hardcover,4.7 out of 5 stars,"7,974",$14.98,Nonfiction,History
2001,24,Seabiscuit: An American Legend,Laura Hillenbrand,Hardcover,4.6 out of 5 stars,"4,496",$14.57,Nonfiction,"History, Biography"
2001,25,The Hobbit and The Lord of the Rings,J. R. R. Tolkien,Paperback,4.8 out of 5 stars,"22,616",$14.26,Fiction,"Fantasy, Adventure, Young Adult"
2001,26,Desecration: Antichrist Takes the Throne (Left Behind No. 9),Tim LaHaye,Hardcover,4.7 out of 5 stars,"1,416",$13.03,Fiction,"Religion, Fantasy, Thriller"
2001,27,The 7 Habits of Highly Effective People,Stephen R. Covey,Paperback,4.6 out of 5 stars,"19,621",$9.26,Nonfiction,"Self Help, Business, Personal Development, Psychology, Leadership"
2001,28,J.R.R. Tolkien Boxed Set (The Hobbit and The Lord of the Rings),J.R.R. Tolkien,Paperback,4.8 out of 5 stars,"22,616",$5.32,Fiction,"Fantasy, Adventure, Epic Fantasy"
2001,29,The Bonesetter's Daughter,Amy Tan,Hardcover,4.3 out of 5 stars,"3,955",$14.35,Fiction,"Historical Fiction, Adult"
2001,30,"Harry Potter and the Chamber of Secrets (Harry Potter, Book 2) (2)",J. K. Rowling,Paperback,4.8 out of 5 stars,"102,934",$0.59,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2001,31,Girl with a Pearl Earring: A Novel,Tracy Chevalier,Paperback,4.4 out of 5 stars,"7,250",$9.26,Fiction,"Historical Fiction, Art, Romance, Adult"
2001,32,The No Spin Zone: Confrontations with the Powerful and Famous in America,Bill O'Reilly,Hardcover,4.3 out of 5 stars,374,$10.48,Nonfiction,"Politics, History"
2001,33,Harry Potter and the Sorcerer's Stone (1),J.K. Rowling,Hardcover,4.8 out of 5 stars,"135,640",$16.35,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2001,34,Harry Potter and the Chamber of Secrets,J.K. Rowling,Hardcover,4.8 out of 5 stars,"102,934",$15.78,Fiction,"Fantasy, Young Adult, Magic, Childrens"
2001,35,Bias: A CBS Insider Exposes How the Media Distort the News,Bernard Goldberg,Hardcover,4.5 out of 5 stars,770,$15.40,Nonfiction,"Science, Politics, Sociology"
2001,36,The Fiery Cross,Diana Gabaldon,Hardcover,4.6 out of 5 stars,"42,793",$27.17,Fiction,"Historical Fiction, Romance, Fantasy, Time Travel"
2001,37,"Good to Great: Why Some Companies Make the Leap...And Others Don't (Good to Great, 1)",Jim Collins,Hardcover,4.5 out of 5 stars,"9,069",$19.25,Nonfiction,"Business, Leadership, Management, Self Help"
2001,38,Dreamcatcher,Stephen King,Hardcover,4.5 out of 5 stars,"3,259",$17.97,Fiction,"Horror, Science Fiction, Thriller, Fantasy"
2001,39,Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,Hardcover,4.5 out of 5 stars,"2,534",$17.00,Nonfiction,"History, Biography, Politics"
2001,40,How I Play Golf,Tiger Woods,Hardcover,4.7 out of 5 stars,998,$22.87,Nonfiction,"Biography, Reference"
2001,41,"The Elements of Style, Fourth Edition",William Strunk Jr.,Paperback,4.7 out of 5 stars,"8,491",$7.99,Nonfiction,"Reference, Education, Self Help"
2001,42,The Worst-Case Scenario Survival Handbook (Worst Case Scenario (WORS)),Joshua Piven,Paperback,4.4 out of 5 stars,510,$1.04,Nonfiction,"Reference, Self Help, Science"
2001,43,Journey Through Heartsongs,Mattie J.T. Stepanek,Hardcover,4.8 out of 5 stars,142,$8.95,Nonfiction,Childrens
2001,44,Back When We Were Grownups,Anne Tyler,Hardcover,4.0 out of 5 stars,"2,642",$13.69,Fiction,Literary Fiction
2001,45,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Hardcover,4.5 out of 5 stars,"3,493",$20.99,Nonfiction,"Sociology, Politics, History, Science, Business"
2001,46,Cane River (Oprah's Book Club),Lalita Tademy,Hardcover,4.6 out of 5 stars,"2,425",$11.00,Fiction,"Historical Fiction, Adult"
2001,47,The Universe in a Nutshell,Stephen Hawking,Hardcover,4.8 out of 5 stars,"1,364",$19.39,Nonfiction,Science
2001,48,"One Nation: America Remembers September 11, 2001",Editors of Life Magazine,Hardcover,4.7 out of 5 stars,176,$18.12,Fiction,"Historical Fiction, Young Adult, Fantasy, Horror"
2001,49,Black House: A Novel,Stephen King,Hardcover,4.6 out of 5 stars,"5,232",$14.18,Fiction,"Horror, Fantasy, Thriller, Mystery"
2001,50,Secrets of the Vine: Breaking Through to Abundance,Bruce Wilkinson,Hardcover,4.8 out of 5 stars,981,$8.40,Nonfiction,"Religion, Spirituality"
2002,1,"Good to Great: Why Some Companies Make the Leap...And Others Don't (Good to Great, 1)",Jim Collins,Hardcover,4.5 out of 5 stars,"9,069",$19.25,Nonfiction,"Business, Leadership, Management, Self Help"
2002,2,Who Moved My Cheese,Spencer Johnson,Hardcover,4.6 out of 5 stars,"27,763",$12.99,Nonfiction,"Self Help, Business, Psychology, Leadership, Personal Development, Management"
2002,3,The Lovely Bones,Alice Sebold,Hardcover,4.3 out of 5 stars,"15,168",$14.45,Fiction,"Mystery, Young Adult, Fantasy, Crime, Thriller"
2002,4,Fish: A Proven Way to Boost Morale and Improve Results,Stephen C. Lundin,Hardcover,4.6 out of 5 stars,"3,655",$9.24,Fiction,"Childrens, Fantasy"
2002,5,Stupid White Men ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,Paperback,4.4 out of 5 stars,807,$6.30,Nonfiction,"Politics, History, Comedy, Sociology"
2002,6,The Nanny Diaries: A Novel,Emma Mclaughlin,Hardcover,4.2 out of 5 stars,"1,350",$14.36,Fiction,"Chick Lit, Romance, Adult"
2002,7,Self Matters: Creating Your Life from the Inside Out,Phillip C. McGraw,Hardcover,4.4 out of 5 stars,918,$17.00,Nonfiction,"Psychology, Self Help, Personal Development, Science"
2002,8,Execution: The Discipline of Getting Things Done,Larry Bossidy,Hardcover,4.4 out of 5 stars,"1,516",$10.62,Fiction,"Thriller, Mystery, Crime"
2002,9,The Summons,John Grisham,Hardcover,3.9 out of 5 stars,363,$14.90,Fiction,"Mystery, Thriller, Crime"
2002,10,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,Hardcover,3.6 out of 5 stars,813,$20.76,Nonfiction,"Business, Self Help, Leadership, Personal Development, Psychology, Reference"
2002,11,The Wisdom of Menopause: Creating Physical and Emotional Health and Healing During the Change,Christiane Northrup,Hardcover,4.4 out of 5 stars,136,$13.61,Nonfiction,"Self Help, Reference, Medical, Psychology"
2002,12,A Mind at a Time,Mel Levine M.D.,Hardcover,4.4 out of 5 stars,223,$12.65,Nonfiction,"Self Help, Religion"
2002,13,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and the Middle Class Do Not!,Robert T. Kiyosaki,Paperback,4.6 out of 5 stars,"23,816",$16.43,Nonfiction,"Finance, Business, Self Help, Personal Finance, Personal Development"
2002,14,"First, Break All the Rules: What the World's Greatest Managers Do Differently",Marcus Buckingham,Hardcover,4.6 out of 5 stars,"2,623",$17.22,Nonfiction,"Business, Leadership, Management, Self Help, Personal Development"
2002,15,Atonement: A Novel,Ian McEwan,Hardcover,4.3 out of 5 stars,"9,423",$16.75,Fiction,"Historical Fiction, Romance, Literary Fiction"
2002,16,Red Rabbit,Tom Clancy,Hardcover,4.3 out of 5 stars,"5,223",$13.22,Fiction,"Thriller, Adventure, Mystery"
2002,17,Slander: Liberal Lies About the American Right,Ann Coulter,Hardcover,4.4 out of 5 stars,762,$7.78,Nonfiction,"Politics, History, Philosophy"
2002,18,Bias: A CBS Insider Exposes How the Media Distort the News,Bernard Goldberg,Hardcover,4.5 out of 5 stars,770,$15.40,Nonfiction,"Science, Politics, Sociology"
2002,19,The Sopranos Family Cookbook: As Compiled by Artie Bucco,Artie Bucco,Hardcover,4.7 out of 5 stars,"3,394",$15.41,Nonfiction,"Cookbooks, Reference"
2002,20,"The Shelters of Stone (Earth's Children, Book 5)",Jean M. Auel,Hardcover,4.6 out of 5 stars,"6,280",$13.97,Fiction,"Historical Fiction, Fantasy, Romance, Adventure"
2002,21,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,Hardcover,4.7 out of 5 stars,"62,528",$1.95,Nonfiction,"Self Help, Spirituality, Philosophy, Psychology, Personal Development"
2002,22,Body for Life: 12 Weeks to Mental and Physical Strength,Bill Phillips,Hardcover,4.4 out of 5 stars,"1,268",$22.49,Nonfiction,"Self Help, Reference"
2002,23,The 7 Habits of Highly Effective People,Stephen R. Covey,Paperback,4.6 out of 5 stars,"19,621",$9.26,Nonfiction,"Self Help, Business, Personal Development, Psychology, Leadership"
2002,24,Leadership,Rudolph W. Giuliani,Hardcover,4.4 out of 5 stars,276,$12.96,Nonfiction,"Leadership, Business, Self Help, Personal Development, Management, Psychology"
2002,25,"Get With the Program!: Getting Real About Your Health, Weight, and Emotional Well-Being",Bob Greene,Hardcover,4.4 out of 5 stars,77,$11.16,Nonfiction,N/A
2002,26,J.R.R. Tolkien Boxed Set (The Hobbit and The Lord of the Rings),J.R.R. Tolkien,Paperback,4.8 out of 5 stars,"22,616",$5.32,Fiction,"Fantasy, Adventure, Epic Fantasy"
2002,27,Prey,Michael Crichton,Hardcover,4.3 out of 5 stars,"4,705",$14.18,Fiction,"Science Fiction, Thriller, Horror, Mystery"
2002,28,What Went Wrong?: Western Impact and Middle Eastern Response,Bernard Lewis,Hardcover,4.3 out of 5 stars,239,$13.70,Nonfiction,"History, Politics, Religion, Sociology"
2002,29,Bush at War,Bob Woodward,Hardcover,4.4 out of 5 stars,326,$14.88,Nonfiction,"Politics, History, Biography"
2002,30,The Perricone Prescription: A Physician's 28-Day Program for Total Body and Face Rejuvenation,Nicholas Perricone M.D.,Hardcover,4.4 out of 5 stars,309,$9.90,Nonfiction,"Nutrition, Self Help"
2002,31,Satisfaction: The Art of the Female Orgasm,Kim Cattrall,Hardcover,4.3 out of 5 stars,204,$28.37,Fiction,"Romance, Adult"
2002,32,Dr. Atkins' New Diet Revolution,Robert C. Atkins M.D.,Paperback,4.4 out of 5 stars,"3,119",$7.19,Nonfiction,"Self Help, Reference, Nutrition"
2002,33,"The Elements of Style, Fourth Edition",William Strunk Jr.,Paperback,4.7 out of 5 stars,"8,491",$7.99,Nonfiction,"Reference, Education, Self Help"
2002,34,Jack: Straight from the Gut,Jack Welch,Hardcover,4.4 out of 5 stars,"1,034",$12.72,Fiction,"Fantasy, Young Adult, Mythology, Adventure"
2002,35,Let Freedom Ring: Winning the War of Liberty over Liberalism,Sean Hannity,Hardcover,4.5 out of 5 stars,471,$14.20,Nonfiction,"Politics, History, Biography"
2002,36,Sacred Contracts: Awakening Your Divine Potential,Caroline Myss,Hardcover,4.6 out of 5 stars,"1,796",$2.52,Nonfiction,"Spirituality, Self Help, Psychology, Personal Development, Philosophy"
2002,37,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Paperback,4.7 out of 5 stars,"116,235",$7.05,Nonfiction,"Self Help, Spirituality, Philosophy, Personal Development, Psychology"
2002,38,Life of Pi,Yann Martel,Hardcover,4.4 out of 5 stars,"21,933",$22.17,Fiction,"Fantasy, Adventure"
2002,39,Four Blind Mice (Alex Cross),James Patterson,Hardcover,4.6 out of 5 stars,"9,934",$13.13,Fiction,"Mystery, Thriller, Crime"
2002,40,The Beach House,James Patterson,Hardcover,4.4 out of 5 stars,"5,514",$12.50,Fiction,"Mystery, Thriller, Crime"
2002,41,"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother",Allison Pearson,Hardcover,4.0 out of 5 stars,"1,644",$8.95,Fiction,"Chick Lit, Romance"
2002,42,Wild at Heart: Discovering The Secret of a Man's Soul,John Eldredge,Hardcover,4.8 out of 5 stars,"7,001",$22.99,Nonfiction,"Religion, Spirituality"
2002,43,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,Paperback,4.5 out of 5 stars,"10,634",$19.20,Nonfiction,"Business, Psychology, Self Help, Leadership, Management"
2002,44,Raving Fans: A Revolutionary Approach To Customer Service,Ken Blanchard,Hardcover,4.6 out of 5 stars,"1,676",$11.38,Nonfiction,"Business, Leadership, Management, Self Help, Personal Development"
2002,45,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Paperback,4.5 out of 5 stars,"3,493",$13.00,Nonfiction,"Sociology, Politics, History, Science, Business"
2002,46,Fall On Your Knees (Oprah's Book Club),Ann-Marie MacDonald,Paperback,4.2 out of 5 stars,"1,425",$10.49,Fiction,"Historical Fiction, Literary Fiction"
2002,47,John Adams,David McCullough,Hardcover,4.7 out of 5 stars,"5,399",$20.34,Nonfiction,"History, Biography, Politics"
2002,48,Primal Leadership: Realizing the Power of Emotional Intelligence,Daniel Goleman,Hardcover,4.5 out of 5 stars,"1,568",$15.28,Nonfiction,"Leadership, Business, Psychology, Management, Self Help, Personal Development"
2002,49,Empire Falls,Richard Russo,Paperback,4.4 out of 5 stars,"3,483",$9.99,Fiction,Literary Fiction
2002,50,A New Kind of Science,Stephen Wolfram,Hardcover,4.3 out of 5 stars,665,$25.94,Nonfiction,"Science, Philosophy"
2003,1,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,Hardcover,4.8 out of 5 stars,"89,762",$17.27,Fiction,"Fantasy, Young Adult, Magic, Childrens, Adventure"
2003,2,The Da Vinci Code (Robert Langdon),Dan Brown,Hardcover,4.3 out of 5 stars,"1,931",$9.32,Fiction,"Mystery, Thriller, Historical Fiction, Adventure"
2003,3,"The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss",Arthur Agatston,Hardcover,4.4 out of 5 stars,"3,476",$14.29,Nonfiction,"Cookbooks, Self Help, Reference"
2003,4,"Good to Great: Why Some Companies Make the Leap...And Others Don't (Good to Great, 1)",Jim Collins,Hardcover,4.5 out of 5 stars,"9,069",$19.25,Nonfiction,"Business, Leadership, Management, Self Help"
2003,5,The Purpose Driven Life,Rick Warren,Hardcover,4.5 out of 5 stars,"2,730",$0.01,Nonfiction,"Religion, Self Help, Spirituality"
2003,6,Lies and the Lying Liars Who Tell Them,Al Franken,Hardcover,4.5 out of 5 stars,"2,090",$12.28,Nonfiction,"Politics, Comedy, History"
2003,7,The Secret Life of Bees,Sue Monk Kidd,Paperback,4.6 out of 5 stars,"33,739",$9.99,Fiction,"Historical Fiction, Young Adult"
2003,8,The Five People You Meet in Heaven,Mitch Albom,Hardcover,4.6 out of 5 stars,"23,978",$14.49,Fiction,"Fantasy, Spirituality, Adult"
2003,9,Who Moved My Cheese,Spencer Johnson,Hardcover,4.6 out of 5 stars,"27,763",$12.99,Nonfiction,"Self Help, Business, Psychology, Leadership, Personal Development, Management"
